symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
EW,Unknown,2017-04-28,711,36.5365,103,33.6136,33.6136,32.16,30.0,30.81,1,,,False,2017-04-27,186583213.88,36.5567,2017-07-25,39.1741,timeout,7.22
ADI,Unknown,2017-07-17,765,69.2803,55,63.7379,63.7379,67.52,30.0,62.95,3,,771.0,False,2017-07-14,228454523.25,68.7701,2017-07-25,66.7527,model_decay,-3.65
REGN,Unknown,2017-05-19,726,452.7764,19,416.5543,416.5543,393.43,70.0,358.99,1,,778.0,False,2017-05-18,433459232.25,446.3237,2017-08-03,493.5257,model_decay,9.0
VRTX,Unknown,2017-05-16,723,117.4774,32,108.0792,108.0792,95.0,30.0,88.9,2,,,False,2017-05-15,199056335.8,118.09,2017-08-10,151.858,timeout,29.27
CHTR,Unknown,2017-08-09,735,388.2779,9,357.2157,357.2157,355.0,30.0,329.04,1,,743.0,False,2017-08-08,615117416.95,400.9,2017-08-21,392.3573,model_decay,1.05
CHTR,Unknown,2017-08-22,744,398.5481,9,366.6643,366.6643,355.0,30.0,329.04,2,,747.0,False,2017-08-21,811079503.45,397.05,2017-08-25,391.0286,model_decay,-1.89
CHTR,Unknown,2017-09-01,752,399.3289,9,367.3826,367.3826,355.0,30.0,329.04,3,,754.0,False,2017-08-31,633441515.75,392.48,2017-09-06,393.1864,model_decay,-1.54
QRVO,Unknown,2017-09-15,681,73.4434,52,67.5679,67.5679,70.27,30.0,64.7,1,,686.0,False,2017-09-14,62803116.6,75.49,2017-09-22,70.3096,model_decay,-4.27
DLR,Unknown,2017-10-02,819,88.0302,43,81.39,81.39,86.96,30.0,81.39,1,,822.0,False,2017-09-29,199484758.04,87.7941,2017-10-05,86.6623,model_decay,-1.55
QRVO,Unknown,2017-10-05,695,72.3122,53,66.5273,66.5273,70.27,30.0,64.7,2,,706.0,False,2017-10-04,76727835.55,71.7,2017-10-20,70.0599,model_decay,-3.11
WMB,Unknown,2017-09-12,805,19.0301,471,17.5077,17.5077,18.47,70.0,17.2,1,,,False,2017-09-11,73356110.51,18.9797,2017-10-25,17.4902,stop,-8.09
PRGO,Unknown,2017-10-05,822,68.0304,56,62.5879,62.5879,62.07,30.0,59.17,1,,836.0,False,2017-10-04,103752979.31,67.8225,2017-10-25,66.9391,model_decay,-1.6
DLR,Unknown,2017-10-06,823,87.6147,43,81.39,81.39,86.96,30.0,81.39,2,,839.0,False,2017-10-05,204169823.21,87.6162,2017-10-30,86.2921,model_decay,-1.51
CB,Unknown,2017-10-31,840,131.6916,28,121.1562,121.1562,126.06,30.0,120.78,1,,842.0,False,2017-10-30,172098599.22,129.9658,2017-11-02,130.5074,model_decay,-0.9
PRGO,Unknown,2017-11-10,848,69.2679,55,63.7265,63.7265,62.07,30.0,59.17,2,,852.0,False,2017-11-09,100532136.15,68.1879,2017-11-16,66.8459,model_decay,-3.5
SWKS,Unknown,2017-11-15,851,90.2816,116,83.0591,83.0591,88.27,100.0,82.36,1,,853.0,False,2017-11-14,230314973.56,88.8211,2017-11-17,89.922,model_decay,-0.4
CB,Unknown,2017-11-10,848,130.3805,29,120.78,120.78,126.06,30.0,120.78,2,,854.0,False,2017-11-09,205954288.21,130.4226,2017-11-20,127.899,model_decay,-1.9
PRGO,Unknown,2017-11-17,853,67.33,56,61.9436,61.9436,62.07,30.0,59.17,3,,855.0,False,2017-11-16,107102355.5,66.7806,2017-11-21,66.4886,model_decay,-1.25
AMAT,Unknown,2017-10-09,824,47.9617,79,44.1248,44.1248,44.13,30.0,41.45,1,,862.0,False,2017-10-06,523508236.07,47.9138,2017-12-01,47.3195,model_decay,-1.34
QRVO,Unknown,2017-10-30,712,74.094,51,68.1665,68.1665,70.27,30.0,64.7,3,,,False,2017-10-27,64436833.2,76.25,2017-12-06,68.0983,stop,-8.09
CB,Unknown,2017-11-29,860,131.3293,29,120.823,120.823,126.06,30.0,120.78,3,,868.0,False,2017-11-28,168493256.16,131.5342,2017-12-11,129.1644,model_decay,-1.65
PRU,Unknown,2017-12-19,874,77.7003,126,71.4843,71.4843,75.1,100.0,71.19,1,,879.0,False,2017-12-18,134908196.17,77.5298,2017-12-27,76.6768,model_decay,-1.32
SO,Unknown,2017-12-07,866,36.268,245,33.4,33.4,34.66,70.0,33.4,1,,,False,2017-12-06,145748361.06,36.3593,2018-01-02,33.3666,stop,-8.0
DLR,Unknown,2017-11-03,843,87.6519,43,81.39,81.39,86.96,30.0,81.39,3,,,False,2017-11-02,107344087.64,88.2387,2018-01-11,81.3086,stop,-7.24
AES,Unknown,2018-01-22,895,8.5196,449,7.838,7.838,7.91,30.0,7.57,1,,897.0,False,2018-01-19,62003283.03,8.2082,2018-01-24,8.2072,model_decay,-3.67
APA,Unknown,2018-01-29,900,38.122,100,35.0722,35.0722,37.06,30.0,31.87,1,,902.0,False,2018-01-26,144702146.61,37.2534,2018-01-31,35.6127,model_decay,-6.58
STT,Unknown,2018-01-30,901,86.2288,8,79.3305,79.3305,77.64,30.0,74.37,1,,903.0,False,2018-01-29,144071717.92,85.1149,2018-02-01,84.7442,model_decay,-1.72
ESRX,Unknown,2018-01-03,882,75.2352,50,69.2163,69.2163,62.9,30.0,60.63,1,,904.0,False,2018-01-02,294562255.87,75.66,2018-02-05,76.5034,model_decay,1.69
PRU,Unknown,2018-01-05,885,77.5941,134,71.3866,71.3866,75.1,100.0,71.19,2,,906.0,False,2018-01-04,121409530.99,78.0739,2018-02-06,71.3945,model_decay,-7.99
AES,Unknown,2018-01-26,899,8.3391,459,7.672,7.672,7.91,30.0,7.57,1,,906.0,False,2018-01-25,76255031.05,8.4534,2018-02-06,7.5787,model_decay,-9.12
AIG,Unknown,2018-02-01,903,51.2027,73,47.26,47.26,48.62,30.0,47.26,1,,906.0,False,2018-01-31,306521558.11,51.4966,2018-02-06,47.8455,model_decay,-6.56
SYY,Unknown,2017-11-17,853,43.3607,204,39.8919,39.8919,42.03,70.0,39.67,1,,907.0,False,2017-11-16,110936676.83,43.7719,2018-02-07,47.6197,model_decay,9.82
HUM,Unknown,2018-02-07,907,244.3181,35,224.7726,224.7726,243.22,70.0,224.22,1,,909.0,False,2018-02-06,301946916.62,245.8373,2018-02-09,245.3132,model_decay,0.41
TRIP,Unknown,2018-02-14,912,35.1615,123,32.3486,32.3486,33.94,35.0,30.31,1,,922.0,False,2018-02-13,121929333.57,36.2113,2018-03-01,35.9708,model_decay,2.3
ESRX,Unknown,2018-02-20,914,74.6546,116,68.6822,68.6822,62.76,70.0,59.17,1,,922.0,False,2018-02-16,358234407.65,76.05,2018-03-02,73.6363,model_decay,-1.36
STT,Unknown,2018-02-27,920,82.9644,45,76.3272,76.3272,77.64,30.0,74.37,2,,923.0,False,2018-02-26,136376023.2,82.8197,2018-03-02,80.2278,model_decay,-3.3
ESRX,Unknown,2018-03-09,927,80.08,51,73.6736,73.6736,62.76,70.0,59.47,3,,931.0,False,2018-03-08,469069011.45,80.75,2018-03-15,76.5434,model_decay,-4.42
HUM,Unknown,2018-02-13,911,245.1819,35,225.5674,225.5674,243.22,70.0,224.22,2,,939.0,False,2018-02-12,325568553.14,248.7791,2018-03-26,243.867,model_decay,-0.54
ADM,Unknown,2018-03-05,924,32.8905,310,30.57,30.57,32.87,85.0,30.57,1,,939.0,False,2018-03-02,137440678.03,33.5087,2018-03-26,33.1696,model_decay,0.85
TRIP,Unknown,2018-03-06,925,37.2891,116,34.3059,34.3059,33.94,35.0,30.31,2,,939.0,False,2018-03-05,180596872.28,37.6875,2018-03-26,36.1217,model_decay,-3.13
TRIP,Unknown,2018-03-27,940,37.3869,115,34.396,34.396,33.94,35.0,30.31,3,,942.0,False,2018-03-26,77702437.09,35.8645,2018-03-29,36.1484,model_decay,-3.31
BKNG,Unknown,2018-04-04,945,80.1084,104,73.6998,73.6998,77.75,100.0,70.5,1,,949.0,False,2018-04-03,910931914.52,81.1173,2018-04-10,81.2322,model_decay,1.4
ESRX,Unknown,2018-04-24,958,75.7056,2,69.6492,69.6492,62.76,70.0,59.17,3,,,False,2018-04-23,293397896.57,75.49,2018-05-04,69.5796,stop,-8.09
IDXX,Unknown,2018-02-16,785,181.3111,20,166.8062,166.8062,165.77,30.0,154.88,1,,,False,2018-02-15,126868895.35,182.48,2018-05-15,209.0707,timeout,15.31
BKNG,Unknown,2018-04-11,950,81.0663,103,74.581,74.581,77.75,100.0,70.5,2,,974.0,False,2018-04-10,797465703.31,81.4949,2018-05-15,80.3745,model_decay,-0.85
ADM,Unknown,2018-03-27,940,33.7385,301,31.0394,31.0394,32.87,85.0,30.57,2,,,False,2018-03-26,139300815.28,33.6263,2018-06-21,36.4852,timeout,8.14
VRSK,Unknown,2018-05-31,985,102.0405,36,99.0,99.0,101.35,30.0,99.0,1,,1002.0,False,2018-05-30,102197464.21,101.0068,2018-06-25,101.7796,model_decay,-0.26
HUM,Unknown,2018-04-02,943,262.5146,32,241.5134,241.5134,243.22,70.0,224.22,3,,,False,2018-03-29,258271424.32,260.9878,2018-06-26,278.4862,timeout,6.08
IDXX,Unknown,2018-05-24,852,204.1339,18,189.42,189.42,202.26,30.0,189.42,2,,,False,2018-05-23,110794971.55,202.37,2018-08-20,244.5852,timeout,19.82
SRE,Unknown,2018-06-25,1002,44.3693,84,40.8198,40.8198,41.89,30.0,39.57,1,,,False,2018-06-22,282439351.89,44.8753,2018-09-19,45.4646,timeout,2.47
