symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
TROW,Unknown,2017-06-12,741,51.7166,70,47.5792,47.5792,51.07,30.0,47.04,1,,749.0,False,2017-06-09,87810521.78,52.1303,2017-06-22,51.7303,model_decay,0.03
EW,Unknown,2017-06-20,747,39.6463,91,36.4746,36.4746,32.16,30.0,30.81,2,,753.0,False,2017-06-19,126125326.58,39.29,2017-06-28,39.244,model_decay,-1.01
REGN,Unknown,2017-06-21,748,492.9351,17,453.5003,453.5003,393.43,70.0,358.99,3,,756.0,False,2017-06-20,441319566.54,517.7438,2017-07-03,489.6615,model_decay,-0.66
TROW,Unknown,2017-06-27,752,52.6804,69,48.466,48.466,51.07,30.0,47.04,2,,759.0,False,2017-06-26,81131508.87,52.6562,2017-07-07,52.9728,model_decay,0.55
GT,Unknown,2017-07-18,766,33.4479,109,30.7721,30.7721,33.4,30.0,30.58,1,,767.0,False,2017-07-17,71586751.95,32.9803,2017-07-19,32.9288,model_decay,-1.55
WMB,Unknown,2017-06-29,754,18.5665,457,17.2,17.2,18.47,70.0,17.2,1,,779.0,False,2017-06-28,109023697.87,18.5356,2017-08-04,19.3435,model_decay,4.19
TROW,Unknown,2017-07-11,761,53.712,67,49.415,49.415,51.07,30.0,47.04,3,,789.0,False,2017-07-10,76543218.81,53.4167,2017-08-18,58.6101,model_decay,9.12
CHTR,Unknown,2017-08-01,729,393.2328,9,361.7742,361.7742,355.0,30.0,329.04,1,,742.0,False,2017-07-31,553659981.55,387.42,2017-08-18,391.1385,model_decay,-0.53
CHTR,Unknown,2017-08-23,745,396.6863,9,364.9514,364.9514,355.0,30.0,329.04,2,,746.0,False,2017-08-22,815465352.7,390.33,2017-08-24,389.6999,model_decay,-1.76
QRVO,Unknown,2017-09-01,672,73.4634,49,67.5863,67.5863,70.27,30.0,64.7,1,,677.0,False,2017-08-31,73538731.15,73.26,2017-09-11,72.2677,model_decay,-1.63
CHTR,Unknown,2017-09-01,752,399.3289,9,367.3826,367.3826,355.0,30.0,329.04,3,,758.0,False,2017-08-31,633441515.75,392.48,2017-09-12,380.5391,model_decay,-4.71
DLR,Unknown,2017-09-01,799,87.18,41,81.39,81.39,86.96,30.0,81.39,1,,807.0,False,2017-08-31,73244730.75,86.5707,2017-09-14,89.4757,model_decay,2.63
PRGO,Unknown,2017-09-13,806,68.8243,52,63.3183,63.3183,62.07,30.0,59.17,1,,809.0,False,2017-09-12,96921496.43,69.2064,2017-09-18,68.5781,model_decay,-0.36
EW,Unknown,2017-07-21,769,39.7097,92,36.5329,36.5329,32.16,30.0,30.81,3,,,False,2017-07-20,122072502.22,39.3367,2017-09-21,36.4964,stop,-8.09
QRVO,Unknown,2017-09-13,679,72.9729,49,67.1351,67.1351,70.27,30.0,64.7,2,,685.0,False,2017-09-12,69243634.2,73.01,2017-09-21,70.1398,model_decay,-3.88
