symbol,signal_date,period,pit_member,facts_cached,event_available,filed,event_age_days,fresh_120d,form,accession,eps_growth,revenue_growth,revenue_tag
AZO,2016-11-18,fit,True,True,True,2016-10-24,25,True,10-K,0001193125-16-745160,0.12961421038023868,0.04400913290417319,SalesRevenueNet
AZO,2020-10-13,internal_holdout,True,True,True,2020-06-12,123,False,10-Q,0001558370-20-007487,-0.1000625390869293,-0.0013320129385275825,Revenues
BA,2015-01-07,outside_experiment,True,True,True,2014-10-22,77,True,10-Q,0000012927-14-000057,0.23178807947019875,0.07474017171260727,Revenues
BA,2021-04-14,internal_holdout,True,True,True,2019-10-23,539,False,10-Q,0000012927-19-000077,-0.4963144963144964,-0.20544022906227632,Revenues
BAC,2014-12-05,outside_experiment,True,True,True,2014-07-29,129,False,10-Q,0000070858-14-000088,-0.40625,-0.04312051744620937,Revenues
BAC,2014-12-16,outside_experiment,True,True,True,2014-07-29,140,False,10-Q,0000070858-14-000088,-0.40625,-0.04312051744620937,Revenues
BAC,2015-01-21,outside_experiment,True,True,True,2014-07-29,176,False,10-Q,0000070858-14-000088,-0.40625,-0.04312051744620937,Revenues
BALL,2021-08-06,internal_holdout,False,True,False,,,False,,,,,
BAX,2020-11-11,internal_holdout,True,True,True,2020-10-29,13,True,10-Q,0001628280-20-015042,-0.028169014084507116,0.04244124868467214,RevenueFromContractWithCustomerExcludingAssessedTax
BBT,2020-03-09,internal_holdout,False,True,False,,,False,,,,,
BBWI,2020-02-10,internal_holdout,False,True,False,,,False,,,,,
BBWI,2020-03-06,internal_holdout,False,True,False,,,False,,,,,
BBY,2021-08-24,internal_holdout,True,True,True,2021-06-04,81,True,10-Q,0000764478-21-000039,2.80327868852459,0.3591450595655221,Revenues
BEN,2015-02-03,outside_experiment,True,True,True,2015-01-30,4,True,10-Q,0000038777-15-000010,-0.05208333333333326,-0.021426878407205474,Revenues
BEN,2018-02-02,fit,True,True,True,2017-11-13,81,True,10-K,0000038777-17-000268,0.023809523809523725,-0.034119069205197916,Revenues
BEN,2018-04-16,fit,True,True,True,2017-11-13,154,False,10-K,0000038777-17-000268,0.023809523809523725,-0.034119069205197916,Revenues
BEN,2021-02-24,internal_holdout,True,True,True,2021-02-02,22,True,10-Q,0000038777-21-000029,-0.042857142857142705,0.4361503023322775,RevenueFromContractWithCustomerExcludingAssessedTax
BF-B,2014-10-15,outside_experiment,True,True,False,,,False,,,,,
BHF,2018-02-09,fit,True,True,False,,,False,,,,,
BIIB,2019-03-26,calibration,True,True,True,2019-02-06,48,True,10-K,0000875045-19-000006,0.8104026845637582,0.09605748784005086,Revenues
BIIB,2019-04-10,calibration,True,True,True,2019-02-06,63,True,10-K,0000875045-19-000006,0.8104026845637582,0.09605748784005086,Revenues
BIIB,2020-11-27,internal_holdout,True,True,True,2020-10-21,37,True,10-Q,0000875045-20-000036,-0.46841477949940413,-0.062220493875170146,Revenues
BIO,2021-12-10,internal_holdout,True,True,True,2021-10-29,42,True,10-Q,0000012208-21-000050,1.9780018331805684,0.15416608086666472,RevenueFromContractWithCustomerExcludingAssessedTax
BKNG,2015-11-24,outside_experiment,True,True,True,2015-11-09,15,True,10-Q,0001075531-15-000066,0.1687468796804792,0.09392007112998879,SalesRevenueNet
BKNG,2016-06-27,outside_experiment,True,True,True,2016-05-04,54,True,10-Q,0001075531-16-000099,0.17452830188679225,0.1670158103410997,SalesRevenueNet
BKNG,2018-02-16,fit,True,True,True,2017-11-07,101,True,10-Q,0001075531-17-000036,2.3988153998025665,0.20145414561290553,SalesRevenueNet
BKNG,2021-11-08,internal_holdout,True,True,True,2021-11-03,5,True,10-Q,0001075531-21-000053,-0.04566444330425845,0.7712121212121212,Revenues
BLL,2021-08-06,internal_holdout,True,False,False,,,False,,,,,
BRK-B,2018-12-21,outside_experiment,True,True,False,,,False,,,,,
BRO,2021-04-27,internal_holdout,False,True,False,,,False,,,,,
BSX,2020-03-03,internal_holdout,True,True,True,2020-02-25,7,True,10-K,0000885725-20-000012,1.7983193277310927,0.09284332688588015,RevenueFromContractWithCustomerExcludingAssessedTax
BWA,2015-01-14,outside_experiment,True,True,True,2014-10-30,76,True,10-Q,0000908255-14-000063,0.01388888888888884,0.1250692060679881,Revenues
BWA,2016-02-11,outside_experiment,True,True,True,2015-10-29,105,True,10-Q,0000908255-15-000059,-0.04109589041095896,-0.07288027164017519,Revenues
BWA,2018-07-26,outside_experiment,True,True,True,2018-02-08,168,False,10-K,0000908255-18-000017,2.7818181818181817,0.0802888325432698,Revenues
BWA,2018-08-08,outside_experiment,True,True,True,2018-02-08,181,False,10-K,0000908255-18-000017,2.7818181818181817,0.0802888325432698,Revenues
BWA,2018-08-09,outside_experiment,True,True,True,2018-02-08,182,False,10-K,0000908255-18-000017,2.7818181818181817,0.0802888325432698,Revenues
BWA,2018-08-10,outside_experiment,True,True,True,2018-02-08,183,False,10-K,0000908255-18-000017,2.7818181818181817,0.0802888325432698,Revenues
BWA,2018-12-04,outside_experiment,True,True,True,2018-10-25,40,True,10-Q,0000908255-18-000062,0.11363636363636354,0.0257842893800182,Revenues
BWA,2019-07-26,outside_experiment,True,True,True,2019-07-25,1,True,10-Q,0000908255-19-000057,-0.3615384615384616,-0.05308092056421676,Revenues
BWA,2019-11-01,outside_experiment,True,True,True,2019-10-31,1,True,10-Q,0000908255-19-000062,-0.04081632653061229,0.005649717514124353,Revenues
BXP,2021-12-21,internal_holdout,True,True,True,2021-11-05,46,True,10-Q,0001656423-21-000033,0.18965517241379315,0.05306461570417209,Revenues
C,2016-06-06,outside_experiment,True,True,True,2016-05-02,35,True,10-Q,0000831001-16-000241,-0.27152317880794696,-0.11050871503850834,Revenues
C,2020-10-21,internal_holdout,True,True,True,2020-08-05,77,True,10-Q,0000831001-20-000078,-0.7435897435897436,0.05373707218253543,Revenues
CAG,2016-11-11,fit,True,True,True,2014-07-16,849,False,10-K,0000023217-14-000009,-0.6216216216216217,0.1578947368421053,Revenues
CAG,2017-06-16,fit,True,True,True,2014-07-16,1066,False,10-K,0000023217-14-000009,-0.6216216216216217,0.1578947368421053,Revenues
CAG,2019-06-25,calibration,True,True,True,2019-04-02,84,True,10-Q,0000023217-19-000004,-0.4444444444444444,0.35728252694911,RevenueFromContractWithCustomerExcludingAssessedTax
CAH,2020-02-06,internal_holdout,True,True,True,2019-08-20,170,False,10-K,0000721371-19-000090,4.592592592592593,0.0637750440395004,Revenues
CAH,2020-05-12,internal_holdout,True,True,True,2019-08-20,266,False,10-K,0000721371-19-000090,4.592592592592593,0.0637750440395004,Revenues
CAH,2020-05-19,internal_holdout,True,True,True,2019-08-20,273,False,10-K,0000721371-19-000090,4.592592592592593,0.0637750440395004,Revenues
CAH,2021-05-21,internal_holdout,True,True,True,2019-08-20,640,False,10-K,0000721371-19-000090,4.592592592592593,0.0637750440395004,Revenues
CAT,2016-01-15,outside_experiment,True,True,True,2015-10-30,77,True,10-Q,0000018230-15-000324,-0.6196319018404908,-0.1909366004871208,Revenues
CAT,2016-02-11,outside_experiment,True,True,True,2015-10-30,104,True,10-Q,0000018230-15-000324,-0.6196319018404908,-0.1909366004871208,Revenues
CAT,2016-03-09,outside_experiment,True,True,True,2016-02-16,22,True,10-K,0000018230-16-000410,-0.40476190476190477,-0.14810452305015942,Revenues
CAT,2016-07-12,fit,True,True,True,2016-05-02,71,True,10-Q,0000018230-16-000512,-0.7733990147783251,-0.25515666824122185,Revenues
CAT,2019-08-15,outside_experiment,True,True,True,2019-08-01,14,True,10-Q,0000018230-19-000224,0.0035460992907803135,0.03004781957033753,Revenues
CAT,2019-10-17,outside_experiment,True,True,True,2019-08-01,77,True,10-Q,0000018230-19-000224,0.0035460992907803135,0.03004781957033753,Revenues
CAT,2019-10-18,outside_experiment,True,True,True,2019-08-01,78,True,10-Q,0000018230-19-000224,0.0035460992907803135,0.03004781957033753,Revenues
CB,2017-10-27,fit,True,True,True,2017-08-03,85,True,10-Q,0000896159-17-000015,0.7987012987012987,0.026719007217930857,Revenues
CB,2020-09-04,internal_holdout,True,True,True,2020-04-29,128,False,10-Q,0000896159-20-000006,-0.7555555555555555,-0.022727272727272707,Revenues
CBOE,2019-10-04,outside_experiment,True,True,True,2018-02-22,589,False,10-K,0001558370-18-000953,0.6255506607929515,2.170388280472195,Revenues
CBOE,2019-10-10,outside_experiment,True,True,True,2018-02-22,595,False,10-K,0001558370-18-000953,0.6255506607929515,2.170388280472195,Revenues
CBOE,2020-11-30,internal_holdout,True,True,True,2018-02-22,1012,False,10-K,0001558370-18-000953,0.6255506607929515,2.170388280472195,Revenues
