date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2017-12-29,99929.93,74375.95,4,25.5719,-0.00079917,-0.00377056,0.00297138,-0.00096645,0.00016727
2018-01-02,99814.4,82217.1,3,17.63,-0.0011561,0.00715732,-0.00831343,0.00183026,-0.00298637
2018-01-03,99855.44,78605.82,4,21.2804,0.00041117,0.00632538,-0.00591421,0.00111517,-0.00070399
2018-01-04,99893.43,88527.05,3,11.3785,0.00038043,0.00421442,-0.00383399,0.00089684,-0.00051642
2018-01-05,99979.91,78595.01,4,21.3892,0.00086577,0.00666478,-0.00579901,0.00075835,0.00010742
2018-01-08,100028.11,82868.93,3,17.1544,0.00048206,0.00182805,-0.00134599,0.00039101,9.105e-05
2018-01-09,100259.47,82868.93,3,17.3455,0.00231294,0.00226302,4.993e-05,0.00038821,0.00192474
2018-01-10,100400.0,82868.93,3,17.4612,0.00140168,-0.00152934,0.00293101,-0.00026527,0.00166695
2018-01-11,100553.27,86202.58,2,14.2717,0.00152661,0.00729604,-0.00576943,0.00127398,0.00025263
2018-01-12,100624.68,86202.58,2,14.3326,0.00071018,0.0065192,-0.00580902,0.0009304,-0.00022022
2018-01-16,100430.21,86202.58,2,14.1667,-0.00193263,-0.00341862,0.00148599,-0.00048998,-0.00144265
2018-01-17,100562.62,86202.58,2,14.2797,0.00131842,0.00953144,-0.00821302,0.00135029,-3.187e-05
2018-01-18,100514.13,86202.58,2,14.2383,-0.00048215,-0.00168085,0.0011987,-0.00024002,-0.00024213
2018-01-19,100594.34,86202.58,2,14.3067,0.00079795,0.00454994,-0.003752,0.00064784,0.00015011
2018-01-22,100531.99,89485.08,3,10.9885,-0.00061983,0.00813086,-0.0087507,0.00116326,-0.00178309
2018-01-23,100603.26,93352.88,2,7.2069,0.00070892,0.0021227,-0.00141378,0.00023325,0.00047566
2018-01-24,100563.79,93352.88,2,7.1705,-0.00039228,-0.00038842,-3.87e-06,-2.799e-05,-0.00036429
2018-01-25,100661.77,93352.88,2,7.2608,0.00097431,0.00042397,0.00055035,3.04e-05,0.00094391
2018-01-26,100756.95,93352.88,2,7.3484,0.00094553,0.01157773,-0.0106322,0.00084064,0.00010489
2018-01-29,100660.67,89693.17,3,10.8955,-0.00095556,-0.00663024,0.00567468,-0.00048722,-0.00046834
2018-01-30,100366.87,86071.56,4,14.243,-0.00291876,-0.01025681,0.00733805,-0.00111753,-0.00180123
2018-01-31,100490.76,86071.56,4,14.3488,0.00123447,0.00049645,0.00073802,7.071e-05,0.00116376
2018-02-01,100471.13,82436.17,5,17.9504,-0.00019542,-0.00113463,0.00093921,-0.00016281,-3.261e-05
2018-02-02,99870.52,75864.71,5,24.0369,-0.00597786,-0.0217702,0.01579234,-0.00390783,-0.00207003
2018-02-05,98767.47,82552.4,3,16.4174,-0.01104489,-0.04182265,0.03077777,-0.01005288,-0.000992
2018-02-06,98447.22,91476.72,2,7.0804,-0.00324238,0.01970219,-0.02294457,0.00323459,-0.00647697
2018-02-07,98550.61,83169.9,3,15.6069,0.00105021,-0.0054243,0.0064745,-0.00038406,0.00143427
2018-02-08,98204.56,86522.01,2,11.8961,-0.0035114,-0.03750946,0.03399806,-0.00585407,0.00234267
2018-02-09,98397.78,86522.01,2,12.0691,0.00196754,0.01502159,-0.01305406,0.00178699,0.00018055
2018-02-12,98454.55,86522.01,2,12.1198,0.00057693,0.01468472,-0.0141078,0.00177232,-0.0011954
2018-02-13,98499.1,86522.01,2,12.1596,0.00045248,0.0024873,-0.00203482,0.00030146,0.00015103
2018-02-14,98656.66,82372.95,3,16.5054,0.00159954,0.01349634,-0.0118968,0.0016411,-4.156e-05
2018-02-15,98826.98,82372.95,3,16.6493,0.00172648,0.01276016,-0.01103367,0.00210612,-0.00037964
2018-02-16,98992.94,78928.04,4,20.269,0.00167926,0.00029287,0.00138639,4.876e-05,0.0016305
2018-02-20,99001.32,70566.72,5,28.7214,8.466e-05,-0.00626115,0.00634581,-0.00126907,0.00135373
2018-02-21,98890.44,70566.72,5,28.6415,-0.00111998,-0.00497433,0.00385435,-0.0014287,0.00030872
2018-02-22,98718.41,70566.72,5,28.5172,-0.00173965,0.0012962,-0.00303585,0.00037125,-0.00211091
2018-02-23,99242.67,70566.72,5,28.8948,0.00531072,0.01593907,-0.01062835,0.00454537,0.00076535
2018-02-26,99257.97,79133.7,4,20.2747,0.00015409,0.01161219,-0.0114581,0.00335532,-0.00320122
2018-02-27,99171.88,75566.23,5,23.8028,-0.00086726,-0.0124864,0.01161914,-0.00253158,0.00166432
2018-02-28,98748.15,75566.23,5,23.4758,-0.0042727,-0.0101302,0.0058575,-0.00241127,-0.00186143
2018-03-01,98355.6,78944.69,4,19.7354,-0.00397528,-0.01454068,0.0105654,-0.00341354,-0.00056174
