attempt,candidate_priority,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_relative_ma_slope,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,sector,signal_date,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,symbol
1,0.16790670471209523,82.6679067047121,2017-05-05,716,0.0,,True,,60,2017-05-04,0.16790670471209523,10,Information Technology,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,71.51701333333331,0.9126546298726446,72.16971666666662,75.3825,MSI
1,0.12172397535048507,82.62172397535049,2017-05-05,716,0.0,,True,,60,2017-05-04,0.12172397535048507,10,Health Care,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,58.575086666666785,0.8664719005110344,59.082623333333444,60.6278,CVS
1,0.10667932368870758,82.60667932368871,2017-05-05,716,0.0,,True,,60,2017-05-04,0.10667932368870758,10,Unknown,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,118.24654833333237,0.8514272488492569,119.25333166666606,125.4763,WHR
1,0.1008072600354959,82.6008072600355,2017-05-05,716,0.0,,True,,60,2017-05-04,0.1008072600354959,10,Health Care,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,36.96112,0.8455551851960452,37.27364666666654,37.6422,ABT
1,0.044083588030252585,82.54408358803025,2017-05-05,716,0.0,,True,,60,2017-05-04,0.044083588030252585,10,Materials,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,49.68002166666659,0.7888315131908019,50.07191333333328,50.1645,NUE
1,0.04060902491256346,82.54060902491257,2017-05-05,716,0.0,,True,,60,2017-05-04,0.04060902491256346,10,Unknown,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,26.75089333333326,0.7853569500731128,26.960983333333235,28.8818,BBT
1,0.031088043608606952,82.5310880436086,2017-05-05,716,0.0,,True,,60,2017-05-04,0.031088043608606952,10,Industrials,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,43.68664000000002,0.7758359687691563,44.02557666666671,46.0548,XYL
1,0.011906243910808634,82.51190624391081,2017-05-05,716,0.0,,True,,60,2017-05-04,0.011906243910808634,10,Financials,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,49.10411500000009,0.756654169071358,49.47566333333319,50.6211,TROW
1,0.8777986992093867,83.3777986992094,2017-05-08,717,0.0,,True,,60,2017-05-05,0.8777986992093867,10,Financials,2017-05-05,202.2184016666671,0.7831977638763865,203.802171666667,106.33656999999997,1.6609964630857732,108.1028166666667,108.3297,AMP
1,0.6084885840859533,83.10848858408595,2017-05-08,717,0.0,,True,,60,2017-05-05,0.6084885840859533,10,Consumer Discretionary,2017-05-05,202.2184016666671,0.7831977638763865,203.802171666667,29.086415000000034,1.3916863479623398,29.491206666666706,29.5209,DHI
