symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
PRGO,Unknown,2017-11-10,848,69.2679,53,63.7265,63.7265,62.07,30.0,59.17,3,,,False,2017-11-09,100532136.15,68.1879,2017-12-06,63.6628,stop,-8.09
QRVO,Unknown,2017-10-25,709,71.8718,51,66.1221,66.1221,70.27,30.0,64.7,2,,,False,2017-10-24,62872728.65,71.78,2017-12-14,66.056,stop,-8.09
PRU,Unknown,2017-12-18,873,77.6272,130,71.4171,71.4171,75.1,100.0,71.19,1,,882.0,False,2017-12-15,131652854.18,77.0389,2018-01-02,76.3322,model_decay,-1.67
JEF,Unknown,2017-11-29,860,18.7092,463,17.48,17.48,18.23,70.0,17.48,1,,,False,2017-11-28,25520180.17,18.6137,2018-02-05,17.4625,stop,-6.66
PRU,Unknown,2018-01-11,889,81.4592,125,74.9424,74.9424,75.1,100.0,71.19,2,,906.0,False,2018-01-10,135296168.45,82.081,2018-02-05,74.8675,stop,-8.09
AES,Unknown,2018-01-19,894,8.368,13,7.6985,7.6985,7.91,30.0,7.57,1,,,False,2018-01-18,60141525.84,8.475,2018-02-05,7.6908,stop,-8.09
SYY,Unknown,2017-12-06,865,47.6792,180,43.8649,43.8649,42.03,70.0,39.67,1,,907.0,False,2017-12-05,110106879.06,47.4641,2018-02-07,47.6197,model_decay,-0.12
ESRX,Unknown,2017-12-26,877,74.8047,40,68.8204,68.8204,62.9,30.0,60.63,1,,908.0,False,2017-12-22,341992645.71,74.99,2018-02-09,73.7462,model_decay,-1.42
TRIP,Unknown,2018-02-07,907,36.0606,117,33.1758,33.1758,33.94,35.0,30.31,1,,953.0,False,2018-02-06,105906153.65,36.5048,2018-02-09,33.1426,stop,-8.09
IDXX,Unknown,2018-01-18,764,178.8787,1,164.5684,164.5684,165.77,30.0,154.88,1,,781.0,False,2018-01-17,70360034.8,179.0,2018-02-12,174.2456,model_decay,-2.59
ESRX,Unknown,2018-03-09,927,80.08,105,73.6736,73.6736,62.76,70.0,59.47,2,,948.0,False,2018-03-08,469069011.45,80.75,2018-03-19,73.5999,stop,-8.09
STT,Unknown,2018-03-12,929,85.0917,1,78.2844,78.2844,77.64,30.0,74.37,2,,939.0,False,2018-03-09,153836873.34,84.1025,2018-03-23,78.2061,stop,-8.09
IDXX,Unknown,2018-03-12,800,203.6434,9,187.352,187.352,165.77,30.0,154.88,2,,820.0,False,2018-03-09,110029844.65,204.35,2018-04-02,187.1646,stop,-8.09
BKNG,Unknown,2018-03-01,922,79.7713,123,73.3896,73.3896,77.75,100.0,70.5,1,,949.0,False,2018-02-28,1091841040.49,79.4472,2018-04-10,81.2322,model_decay,1.83
MGM,Unknown,2018-04-24,691,35.0665,98,32.2612,32.2612,34.48,30.0,31.95,1,,,False,2018-04-23,288530752.12,34.147,2018-04-26,32.0001,stop,-8.74
ESRX,Unknown,2018-04-19,955,74.4444,113,68.4888,68.4888,62.76,70.0,59.17,3,,,False,2018-04-18,317569197.27,73.76,2018-05-08,68.4203,stop,-8.09
ADM,Unknown,2018-02-16,914,33.5579,295,30.8733,30.8733,32.87,85.0,30.57,1,,,False,2018-02-15,141419201.05,33.8303,2018-05-15,34.7054,timeout,3.42
HUM,Unknown,2018-04-03,944,261.593,31,240.6656,240.6656,243.22,70.0,224.22,1,,,False,2018-04-02,292252266.36,262.6334,2018-06-27,275.1238,timeout,5.17
CMG,Unknown,2018-04-27,962,8.414,418,7.7409,7.7409,6.89,30.0,6.15,1,,1007.0,False,2018-04-26,392730051.3,8.547,2018-07-02,8.551,model_decay,1.63
IDXX,Unknown,2018-05-08,840,205.6855,17,189.42,189.42,202.26,30.0,189.42,1,,,False,2018-05-07,83415837.55,204.96,2018-08-02,234.4553,timeout,13.99
CTAS,Unknown,2018-05-10,971,41.425,105,38.111,38.111,41.06,100.0,37.32,1,,,False,2018-05-09,65229125.43,41.8948,2018-08-06,47.6376,timeout,15.0
VRSK,Unknown,2018-06-04,987,101.5456,35,99.0,99.0,101.35,30.0,99.0,1,,,False,2018-06-01,85713149.25,102.6991,2018-08-28,111.5719,timeout,9.87
SRE,Unknown,2018-06-13,994,45.159,80,41.5463,41.5463,41.89,30.0,39.57,1,,,False,2018-06-12,224234138.81,43.8748,2018-09-07,45.3871,timeout,0.51
