date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2017-10-25,102770.2,82832.32,4,19.4005,-0.00154638,-0.00495025,0.00340387,-0.0011436,-0.00040278
2017-10-26,102601.84,82832.32,4,19.2682,-0.00163827,0.00129249,-0.00293076,0.00025075,-0.00188902
2017-10-27,102743.62,82832.32,4,19.3796,0.00138188,0.00817625,-0.00679437,0.00157542,-0.00019354
2017-10-30,102662.18,82769.71,4,19.3766,-0.00079266,-0.00372511,0.00293245,-0.00072191,-7.075e-05
2017-10-31,102645.75,82769.71,4,19.3637,-0.00016001,0.00155804,-0.00171805,0.0003019,-0.0004619
2017-11-01,102684.49,82769.71,4,19.3942,0.00037736,0.00132232,-0.00094496,0.00025605,0.00012131
2017-11-02,102607.5,86423.91,3,15.7723,-0.00074981,0.00038861,-0.00113843,7.537e-05,-0.00082518
2017-11-03,102563.3,86691.32,3,15.4753,-0.00043077,0.00333838,-0.00376915,0.00052654,-0.00095731
2017-11-06,102897.53,86691.32,3,15.7499,0.00325885,0.00154779,0.00171106,0.00023953,0.00301932
2017-11-07,102905.03,82993.87,4,19.3491,7.282e-05,-0.00069574,0.00076856,-0.00010958,0.0001824
2017-11-08,102949.66,86686.71,3,15.797,0.00043373,0.00170095,-0.00126722,0.00032912,0.00010461
2017-11-09,102866.32,76470.92,4,25.6599,-0.00080953,-0.00362766,0.00281813,-0.00057306,-0.00023647
2017-11-10,102702.76,72125.39,5,29.7727,-0.00158997,-0.00030998,-0.00127998,-7.954e-05,-0.00151042
2017-11-13,102568.47,72125.39,5,29.6807,-0.00130757,0.0009298,-0.00223737,0.00027683,-0.0015844
2017-11-14,102211.94,76130.22,4,25.5173,-0.00347602,-0.00232233,-0.00115369,-0.00068928,-0.00278674
2017-11-15,101583.25,71462.61,5,29.6512,-0.00615087,-0.00500552,-0.00114535,-0.00127727,-0.00487359
2017-11-16,101788.95,71411.31,6,29.8438,0.00202497,0.00850147,-0.0064765,0.00252079,-0.00049582
2017-11-17,101712.12,79953.86,5,21.392,-0.00075482,-0.00293905,0.00218424,-0.00087712,0.00012231
2017-11-20,101787.49,84151.0,4,17.3268,0.00074099,0.00170629,-0.0009653,0.00036501,0.00037598
2017-11-21,101884.12,75573.58,4,25.824,0.00094931,0.00654317,-0.00559386,0.00113372,-0.00018441
2017-11-22,101685.21,75573.58,4,25.6789,-0.00195234,-0.00088469,-0.00106765,-0.00022846,-0.00172387
2017-11-24,101852.02,71972.44,5,29.3363,0.00164054,0.00230954,-0.000669,0.00059306,0.00104748
2017-11-27,101809.1,81967.82,4,19.4887,-0.00042146,-0.0004991,7.764e-05,-0.00014642,-0.00027504
2017-11-28,101980.13,85577.67,3,16.084,0.00167994,0.01014496,-0.00846502,0.00197712,-0.00029718
2017-11-29,101987.44,76934.02,4,24.5652,7.171e-05,-0.00060888,0.00068059,-9.793e-05,0.00016964
2017-11-30,101874.49,76934.02,4,24.4816,-0.00110751,0.00875529,-0.0098628,0.00215075,-0.00325826
2017-12-01,101866.73,76934.02,4,24.4758,-7.623e-05,-0.00207543,0.0019992,-0.0005081,0.00043186
2017-12-04,101826.28,80332.27,3,21.1085,-0.00039702,-0.00121001,0.00081299,-0.00029616,-0.00010086
2017-12-05,101626.83,80332.27,3,20.9537,-0.0019588,-0.00359672,0.00163792,-0.00075921,-0.00119958
2017-12-06,101480.77,92130.35,1,9.214,-0.00143714,0.0001901,-0.00162724,3.983e-05,-0.00147697
2017-12-07,101699.13,92130.35,1,9.4089,0.00215169,0.00315278,-0.00100109,0.0002905,0.00186119
2017-12-08,101970.91,92130.35,1,9.6504,0.0026724,0.00545287,-0.00278047,0.00051306,0.00215935
2017-12-11,101867.23,92130.35,1,9.5584,-0.00101677,0.00301328,-0.00403005,0.00029079,-0.00130756
2017-12-12,101845.24,92130.35,1,9.5389,-0.00021582,0.00176522,-0.00198104,0.00016873,-0.00038455
2017-12-13,101810.67,92130.35,1,9.5082,-0.00033947,-0.00011287,-0.0002266,-1.077e-05,-0.0003287
2017-12-14,101697.57,92130.35,1,9.4075,-0.00111086,-0.00408644,0.00297558,-0.00038855,-0.00072232
2017-12-15,101705.41,92130.35,1,9.4145,7.71e-05,0.00832752,-0.00825042,0.00078341,-0.00070632
2017-12-18,101766.68,92130.35,1,9.469,0.0006024,0.00634141,-0.00573901,0.00059701,5.38e-06
2017-12-19,101716.42,92130.35,1,9.4243,-0.00049382,-0.00384024,0.00334642,-0.00036363,-0.00013019
2017-12-20,101678.72,92130.35,1,9.3907,-0.0003707,-0.00052441,0.00015371,-4.942e-05,-0.00032127
2017-12-21,101648.87,92130.35,1,9.3641,-0.00029353,0.00205992,-0.00235345,0.00019344,-0.00048697
2017-12-22,101669.28,92130.35,1,9.3823,0.00020078,-0.0002618,0.00046258,-2.452e-05,0.0002253
2017-12-26,101683.3,101683.3,0,0.0,0.00013788,-0.00119567,0.00133355,-0.00011218,0.00025006
2017-12-27,101683.3,101683.3,0,0.0,0.0,0.000486,-0.000486,0.0,0.0
2017-12-28,101683.3,101683.3,0,0.0,0.0,0.00205768,-0.00205768,0.0,0.0
2017-12-29,101683.3,101683.3,0,0.0,0.0,-0.00377056,0.00377056,-0.0,0.0
2018-01-02,101683.3,101683.3,0,0.0,0.0,0.00715732,-0.00715732,0.0,0.0
2018-01-03,101704.12,97996.78,1,3.6452,0.00020473,0.00632538,-0.00612065,0.0,0.00020473
2018-01-04,101724.7,97996.78,1,3.6647,0.00020235,0.00421442,-0.00401207,0.00015362,4.873e-05
2018-01-05,101721.27,97996.78,1,3.6615,-3.372e-05,0.00666478,-0.0066985,0.00024425,-0.00027796
2018-01-08,101748.22,97996.78,1,3.687,0.00026494,0.00182805,-0.00156311,6.693e-05,0.00019801
2018-01-09,101973.07,89362.14,2,12.3669,0.00220986,0.00226302,-5.315e-05,8.344e-05,0.00212643
2018-01-10,102070.24,89362.14,2,12.4503,0.00095291,-0.00152934,0.00248225,-0.00018913,0.00114205
2018-01-11,102136.78,71033.83,4,30.4523,0.0006519,0.00729604,-0.00664414,0.00090838,-0.00025648
2018-01-12,102213.58,71033.83,4,30.5045,0.00075198,0.0065192,-0.00576723,0.00198524,-0.00123327
2018-01-16,101948.0,71033.83,4,30.3235,-0.0025983,-0.00341862,0.00082032,-0.00104283,-0.00155546
2018-01-17,102226.66,71033.83,4,30.5134,0.00273334,0.00953144,-0.00679811,0.00289026,-0.00015693
2018-01-18,102120.46,71033.83,4,30.4411,-0.00103889,-0.00168085,0.00064196,-0.00051289,-0.00052601
2018-01-19,102450.04,71033.83,4,30.6649,0.0032274,0.00454994,-0.00132254,0.00138505,0.00184235
2018-01-22,102529.5,71033.83,4,30.7186,0.00077559,0.00813086,-0.00735527,0.00249332,-0.00171773
2018-01-23,102402.0,71033.83,4,30.6324,-0.00124356,0.0021227,-0.00336626,0.00065206,-0.00189563
2018-01-24,102465.09,71033.83,4,30.6751,0.00061614,-0.00038842,0.00100455,-0.00011898,0.00073512
2018-01-25,102298.05,72371.55,5,29.2542,-0.00163022,0.00042397,-0.00205419,0.00013005,-0.00176028
2018-01-26,102541.71,72371.55,5,29.4223,0.00238182,0.01157773,-0.00919591,0.00338697,-0.00100516
2018-01-29,102291.44,83079.18,4,18.7819,-0.00244061,-0.00663024,0.00418963,-0.00195077,-0.00048984
2018-01-30,102063.12,86474.71,3,15.2733,-0.00223212,-0.01025681,0.0080247,-0.00192642,-0.00030569
2018-01-31,101896.82,74143.52,5,27.2367,-0.00162934,0.00049645,-0.00212579,7.582e-05,-0.00170517
2018-02-01,101613.97,74143.52,5,27.0341,-0.00277582,-0.00113463,-0.00164119,-0.00030904,-0.00246678
2018-02-02,101108.52,77617.81,4,23.2332,-0.00497425,-0.0217702,0.01679595,-0.00588538,0.00091113
2018-02-05,100543.7,88994.49,2,11.4868,-0.00558625,-0.04182265,0.0362364,-0.00971673,0.00413047
2018-02-06,100425.12,96943.28,1,3.4671,-0.00117943,0.01970219,-0.02088163,0.00226314,-0.00344258
2018-02-07,100541.32,84381.32,3,16.073,0.00115714,-0.0054243,0.00658143,-0.00018807,0.0013452
